time,altitude,raw_altitude,velocity,pressure,temperature,ax,ay,az,gx,gy,gz,light,continuity,battery_voltage,eventMarker
40,1.05,1.09,0.59,98542.00,30.43,6.65,9.38,4.17,-0.73,-0.68,-1.64,6,1,2185,
146,1.07,1.09,0.43,98542.00,30.43,3.71,1.29,3.79,-0.72,0.55,-0.99,5,1,2182,
252,1.12,1.17,0.46,98541.00,30.38,-1.60,1.08,-6.26,-0.13,2.07,1.20,5,1,2184,
357,1.15,1.17,0.38,98541.00,30.38,0.86,9.93,-12.21,-0.29,0.55,2.39,5,1,2184,
462,1.16,1.17,0.28,98541.00,30.38,4.16,17.46,-9.03,-0.39,-1.03,0.97,5,1,2184,
568,1.17,1.17,0.19,98541.00,30.38,2.90,14.22,3.26,-0.06,-0.44,-1.47,6,1,2184,
674,1.00,0.83,-0.52,98545.00,30.32,3.43,6.54,4.73,-0.26,-0.33,-2.02,4,1,2184,
779,0.92,0.83,-0.63,98545.00,30.32,1.58,1.90,-0.14,-0.64,0.69,-0.54,5,1,2185,
884,0.87,0.83,-0.54,98545.00,30.32,-2.56,2.10,-8.68,-0.11,1.21,1.05,5,1,2184,
1000,0.85,0.83,-0.39,98545.00,30.32,0.48,10.29,-10.20,-0.38,0.03,1.97,5,1,2175,
1107,1.06,1.26,0.52,98540.00,30.26,4.48,17.70,-6.45,-0.37,-1.13,0.66,4,1,2184,
1212,1.16,1.26,0.70,98540.00,30.26,6.30,12.66,2.56,-0.50,-1.13,-1.66,5,1,2175,
1317,1.21,1.26,0.61,98540.00,30.26,3.50,3.09,1.66,-1.12,-0.14,-1.43,5,1,2184,
1423,1.23,1.26,0.46,98540.00,30.26,3.54,2.93,-6.17,-1.06,1.44,0.56,5,1,2184,
1529,1.25,1.26,0.32,98540.00,30.22,-0.57,9.31,-11.50,-0.47,0.10,1.87,4,1,2176,
1634,1.25,1.26,0.22,98540.00,30.22,3.78,17.33,-8.89,0.24,-1.45,0.95,4,1,2184,
1739,1.26,1.26,0.14,98540.00,30.22,7.37,17.24,-2.07,0.23,-1.80,-1.00,7,1,2184,
1845,1.26,1.26,0.09,98540.00,30.22,5.93,8.63,3.32,-0.42,-0.80,-2.06,7,1,2183,
1951,1.13,1.00,-0.42,98543.00,30.17,3.86,2.78,-2.69,-0.53,0.69,-0.99,4,1,2173,
2057,1.07,1.00,-0.49,98543.00,30.17,-0.97,3.11,-9.38,-0.05,0.83,0.66,4,1,2153,
2162,1.04,1.00,-0.42,98543.00,30.17,2.11,11.06,-11.99,-0.11,-0.67,1.63,4,1,2159,
2268,1.02,1.00,-0.31,98543.00,30.17,1.85,15.65,-7.87,-0.19,-1.18,0.60,6,1,2170,
2374,1.18,1.34,0.43,98539.00,30.12,3.42,12.05,-0.59,-0.41,-0.85,-1.24,5,1,2174,
2479,1.26,1.34,0.57,98539.00,30.12,2.72,4.57,0.09,-0.52,0.41,-1.45,5,1,2173,
2584,1.30,1.34,0.49,98539.00,30.12,-1.57,0.92,-6.34,-0.45,1.78,0.12,6,1,2183,
2690,1.32,1.34,0.37,98539.00,30.12,-1.32,4.80,-12.27,-0.18,0.97,2.47,5,1,2175,
2796,1.38,1.43,0.42,98538.00,30.09,2.82,13.77,-11.09,-0.15,-0.81,2.26,4,1,2176,
2901,1.40,1.43,0.35,98538.00,30.09,8.70,16.48,-6.53,-0.30,-1.44,-0.14,3,1,2184,
3006,1.42,1.43,0.26,98538.00,30.09,5.83,7.61,-0.30,-1.08,-0.51,-1.45,7,1,2175,
3112,1.42,1.43,0.18,98538.00,30.09,2.39,1.57,-2.46,-1.02,0.65,-1.12,5,1,2184,
3218,1.38,1.34,-0.04,98539.00,30.05,-2.37,1.43,-9.78,-0.52,1.26,1.05,5,1,2183,
3323,1.36,1.34,-0.10,98539.00,30.05,-0.14,8.06,-10.85,-0.25,-0.49,1.60,6,1,2183,
3428,1.35,1.34,-0.10,98539.00,30.05,2.57,15.33,-8.15,-0.02,-1.57,0.51,4,1,2183,
3534,1.35,1.34,-0.08,98539.00,30.05,4.45,13.07,-1.47,-0.35,-1.04,-1.34,6,1,2183,
3640,1.30,1.26,-0.22,98540.00,30.00,3.18,4.25,0.82,-0.69,0.22,-1.82,5,1,2183,
3745,1.28,1.26,-0.22,98540.00,30.00,-1.79,1.30,-7.55,-0.37,1.66,0.13,5,1,2183,
3850,1.27,1.26,-0.17,98540.00,30.00,0.06,6.06,-13.25,-0.43,0.90,1.97,5,1,2182,
3956,1.26,1.26,-0.12,98540.00,30.00,3.49,14.52,-10.77,-0.29,-0.63,1.13,5,1,2183,
